magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
7,5,6,0,758,0,0.624,53,29,51.537,-175.23
6.5,9,7,1,690,0,0,0,8.2,-41.734,174.152
6.7,4,5,1,715,0,3.741,22,12,5.7732,-78.1999
6.5,6,7,1,693,229,0,20,17,-41.704,174.337
7.3,0,6,1,820,398,0,43,11,-60.857,-25.07
6.6,4,6,0,674,139,0,14,56,-6.029,149.706
7.3,0,4,1,820,117,0,24,385.5,-3.917,153.927
6.6,0,7,1,670,111,0,16,10,10.701,-42.594
6.5,5,6,1,679,698,0,27,30,11.763,-86.926
6.7,5,4,0,710,515,0,24,9,-10.004,107.236
6.7,0,3,1,691,217,0,25.2,624,52.235,151.444
8.3,5,5,1,1115,385,0,10,598.1,54.892,153.221
7.4,0,6,1,842,626,0,16,173.7,-23.009,-177.232
6.8,0,3,0,711,131,0,18,602.2,18.728,145.288
6.5,0,6,1,650,264,0,16.6,10,-3.898,152.127
6.6,8,8,0,2083,548,0,12.6,14,30.308,102.888
7.2,5,7,1,804,770,0,10.1,110,46.221,150.788
6.6,7,7,1,672,445,0,11,13,-3.214,142.542
7.7,8,8,0,1421,506,0,26.6,80,28.033,61.996
6.6,0,5,1,670,491,0,11.5,31,-6.475,154.607
7,3,7,1,755,640,0,11.4,66,-3.517,138.476
6.5,0,6,1,650,317,0,14.2,28,-6.598,148.174
6.5,3,6,0,651,480,0,20.7,29,50.958,157.408
6.9,5,6,1,736,531,0,20.7,41,50.954,157.283
6.6,0,7,1,670,697,0,15.3,11,67.631,142.508
6.6,0,6,1,670,421,0,16.6,18,-10.994,165.741
6.9,5,5,1,904,562,0,23.7,145,1.135,-77.393
7.1,9,6,1,780,334,0,16.5,21,-10.928,166.018
6.8,0,7,1,711,400,0,17.5,12,-10.838,165.969
6.7,0,6,1,691,387,0,26.5,11,-10.997,165.655
7,0,6,0,754,445,0,17.5,8.8,-10.499,165.588
7.1,0,5,0,776,550,0,18.4,10,-11.183,164.882
8,8,7,1,993,460,0,20.9,24,-10.799,165.114
6.9,6,7,0,814,686,0,28,107,42.77,143.092
6.8,6,7,0,771,596,0,19.3,45,-28.094,-70.653
7.5,6,6,0,1425,0,0,0,8.7,55.228,-134.859
6.7,0,4,0,691,521,0,13.7,200.7,-14.344,167.286
7.1,5,5,0,843,517,0,8.7,155,-6.533,129.825
7.3,6,5,0,1014,918,0,14.8,31,37.89,143.949
6.5,4,5,0,708,598,0,57.3,20,14.129,-92.164
6.8,7,6,0,795,391,0,13.7,13.7,23.005,95.885
7.4,8,7,0,1455,751,0,25.5,24,13.988,-91.895
7.8,8,7,0,1726,807,0,42.7,14,52.788,-132.101
6.5,6,6,0,745,691,0,34.4,17,10.086,-85.298
6.6,3,5,0,675,291,0,17.7,13,-4.892,134.03
7.3,7,6,0,1221,934,0,15.5,170,1.929,-76.362
7.6,8,7,0,1555,703,0,34.3,35,10.085,-85.315
7.6,8,5,0,1115,682,0,10.2,28,10.811,126.638
7.3,5,5,0,994,417,0,37,28,12.139,-88.59
6.6,4,5,0,678,497,0,14.6,91.1,2.19,126.837
7.7,7,4,0,941,862,0,13.8,583.2,49.8,145.064
6.5,5,6,0,653,576,0,11.7,41,-4.651,153.173
6.6,4,5,0,675,529,0,15.7,134.7,-18.685,-174.705
6.7,0,7,0,691,370,0,15.4,16,-1.617,134.276
6.8,6,5,0,732,597,0,12.6,198,-5.462,147.117
6.7,0,7,0,691,518,0,26.9,29,-32.625,-71.365
7,7,7,0,1000,474,0,95.9,13,28.696,-113.104
6.5,7,6,0,1171,599,0,54.1,20,18.229,-102.689
8.2,9,6,0,1213,341,0,14.9,25.1,0.802,92.463
8.6,9,7,0,2048,499,0,16.6,20,2.327,93.063
7.1,7,7,0,1496,553,0,15.2,40.7,-35.2,-72.217
6.6,6,6,0,709,640,0,10.1,118,-6.242,145.955
7.4,9,8,0,1752,672,0,37.9,20,16.493,-98.231
6.7,7,7,0,833,596,0,13.4,12,51.708,95.991
6.7,9,7,0,1551,572,0,11.1,11,9.999,123.206
7.1,5,5,0,793,573,0,12,23,-17.827,167.133
7.2,4,4,0,838,443,0,17,19,2.433,93.21
6.6,0,7,0,670,545,0,17.6,15,51.842,95.911
7.1,6,6,0,834,485,0,10.6,135,-7.551,146.809
6.5,8,7,0,1400,578,0,38.6,59,17.986,-99.789
6.9,6,7,0,847,474,0,46.5,24,-14.438,-75.966
7.1,9,9,0,1096,693,0,19.7,18,38.721,43.508
6.5,3,6,0,655,423,0,12.6,37,-6.57,147.881
6.9,8,8,0,1562,383,0,13,50,27.73,88.155
6.7,5,5,0,712,667,0,10.9,30,40.273,142.779
6.7,5,6,0,915,447,0,15.3,91,2.965,97.893
7,7,5,0,761,406,0,15.3,185.1,-20.671,169.716
7,6,6,0,913,471,0,26.9,147,-7.641,-74.525
7.1,5,6,0,787,564,0,12.3,28,-18.311,168.218
6.5,0,5,0,650,322,0,15,35,-18.308,168.156
7.2,8,6,0,813,280,0,18.4,32,-18.365,168.143
6.6,3,6,0,674,229,0,16.6,10,-3.518,144.828
7.6,3,7,0,893,567,0,33.5,17,-29.539,-176.34
6.7,6,6,0,749,592,0,24.9,33,39.955,142.205
6.8,4,5,0,734,519,0,12.5,11,-20.244,168.226
6.8,5,6,0,719,445,0,13,79,-10.375,161.2
6.6,7,7,0,822,586,0,10.1,11,37.001,140.401
7.1,8,8,0,1114,446,0,17.7,42,38.276,141.588
6.6,7,6,0,897,518,0,37.2,166.2,17.208,-94.338
6.9,7,9,0,1154,335,0,18.2,8,20.687,99.822
6.6,6,5,0,673,668,0,9.5,25.7,39.241,142.463
6.5,0,4,0,650,369,0,18.7,6.8,36.166,141.562
7.7,7,4,0,931,507,0,10.8,18.6,38.058,144.59
7.9,8,7,0,1140,163,0,48.4,42.6,36.281,141.111
9.1,9,8,0,2184,541,0,9.5,29,38.297,142.373
7.3,5,5,0,972,550,0,17.4,32,38.435,142.842
6.7,5,6,0,731,358,0,33.9,21,-35.38,-72.834
6.9,7,7,0,988,382,0,34.7,26,-36.422,-72.96
7.2,7,7,0,1449,372,0,25.3,68,28.777,63.951
7,2,5,0,755,578,0,13.3,9,-20.628,168.471
7.2,8,7,0,1054,397,0,30.1,24,-38.355,-73.326
7.3,0,5,0,820,409,0,12,16,-19.702,167.947
6.7,3,7,0,708,279,0,24.3,12,28.412,59.18
6.6,0,6,0,670,306,0,18.5,33,-6.001,149.977
7.8,4,7,0,946,379,0,23,20.1,-3.487,100.082
6.7,5,5,0,776,352,0,50.3,13,24.696,-109.156
7,8,5,0,772,271,0,15.1,26,-4.963,133.76
7,8,8,0,1245,365,0,15.8,12,-43.522,171.83
7.1,6,5,0,945,672,0,12.4,206.7,-1.266,-77.306
7.3,7,7,0,850,405,0,20.2,25,-17.541,168.069
7,4,6,0,757,396,0,12.7,44,-5.746,150.765
6.5,5,4,0,659,403,0,11.1,220,-5.486,146.822
7.6,5,3,0,902,340,0,15.1,578,6.497,123.48
7.3,8,7,0,831,397,0,18.2,35,-5.931,150.59
6.9,4,7,0,737,456,0,15.7,28,-5.966,150.428
6.6,6,7,0,753,295,0,52.8,22,-38.067,-73.31
6.7,5,6,0,696,392,0,18.7,35,-10.627,161.447
6.6,0,7,0,670,309,0,25,10.5,-2.329,136.484
7,3,7,0,755,307,0,18.1,18,-2.174,136.543
7.5,6,5,0,1144,514,0,18.6,35,7.881,91.936
7.2,5,6,0,804,327,0,11.7,31,-13.698,166.643
7.2,5,6,0,918,611,0,20.6,38,3.748,96.018
6.9,6,9,0,773,410,0,14.9,17,33.165,96.548
6.9,4,5,0,740,399,0,12.1,21,-10.878,161.116
7.8,0,7,0,936,352,0,19.2,31,2.383,97.048
7.2,9,9,0,2910,10,0.5137,239,9.987,32.2862,-115.295
6.6,5,6,0,701,413,0,16.7,34,13.667,92.831
6.7,5,6,0,856,312,0,34.7,18,-36.217,-73.257
6.5,6,5,0,810,491,0,27,32,37.745,141.59
7,7,7,0,874,403,0,17.1,18,-34.326,-71.799
6.9,7,7,0,1280,415,0,12.5,11,-34.29,-71.891
6.8,4,6,0,717,401,0,23.2,26,-3.762,100.991
6.6,7,7,0,736,255,0,27.8,18,-36.665,-73.374
6.5,0,4,0,650,426,0,18.7,176,-13.571,167.227
7.4,0,5,0,842,409,0,17.6,35,-37.773,-75.048
8.8,8,8,0,1991,454,0,17.8,22.9,-36.122,-72.898
7,6,6,0,1180,487,0,15.7,25,25.93,128.425
7,9,9,0,1623,500,0,22.7,13,18.443,-72.571
6.5,7,7,0,1360,51,0.3225,220,28.737,40.652,-124.692
6.8,3,6,0,713,338,0,15,15.4,-9.019,157.551
7.1,5,7,0,780,377,0,15,10,-8.783,157.354
6.6,5,7,0,672,282,0,16.6,10,-8.726,157.487
6.5,6,7,0,698,390,0,17.7,27,-19.394,-70.321
7.3,0,4,0,820,430,0,15,595,-17.239,178.331
6.6,7,6,0,677,305,0,20.4,18,-8.207,118.631
6.8,0,6,0,711,424,0,21.4,34,29.218,129.782
6.9,4,6,0,972,397,0,11,130,-6.133,130.385
6.8,0,5,0,711,174,0,30.2,35,-13.298,165.91
7.4,0,7,0,842,314,0,20.2,31.1,-13.093,166.497
7.8,0,6,0,936,195,0,20.3,35,-12.517,166.382
7.7,4,7,0,916,283,0,23.2,45,-13.006,166.51
6.6,7,7,0,787,417,0,30.1,9,-2.482,101.524
7.6,8,8,0,1639,498,0,14,81,-0.72,99.867
8.1,7,6,0,1055,520,0,20.8,18,-15.489,-172.095
7,7,7,0,1175,312,0,16.3,46,-7.782,107.297
6.7,5,6,0,753,369,0,14.9,20,-1.479,99.49
6.6,4,5,0,703,336,0,14.1,53,32.821,140.395
7.5,7,6,0,1248,303,0,18.2,24,14.099,92.902
7.1,5,4,0,1005,447,0,14.2,292,33.167,137.944
6.9,5,7,0,1202,243,0,35,10,29.039,-112.903
7.8,6,8,0,1165,434,0,16.8,12,-45.762,166.562
6.7,5,5,0,693,269,0,13.8,64,-5.157,153.782
7.3,7,8,0,1560,464,0,27.2,19,16.731,-86.217
7.6,7,5,0,916,504,0,14,31,-23.043,-174.66
7.2,3,7,0,802,432,0,18.6,20,3.886,126.387
7.4,7,7,0,846,314,0,21.1,23,-0.691,133.305
6.6,5,4,0,765,344,0,22.6,204.8,36.419,70.743
7.7,5,7,0,918,288,0,29.8,17,-0.414,132.885
7.4,9,7,0,848,365,0,33.7,30,1.271,122.091
6.7,5,6,0,731,481,0,28.6,24,14.423,-92.364
6.7,0,6,0,691,529,0,22.3,27.4,39.533,73.824
6.8,0,6,0,711,500,0,22.2,25,41.892,143.754
6.6,0,6,0,670,463,0,14.1,96,1.885,127.363
6.9,0,6,0,732,531,0,14.9,110,-13.501,166.967
6.7,4,7,0,692,325,0,28,12,30.901,83.52
6.8,8,7,0,1046,633,0,20.2,108,39.802,141.464
7,5,5,0,840,577,0,18.2,22,37.552,142.214
6.9,5,5,0,825,0,0,0,25.5,37.55,142.714
6.6,4,5,0,680,630,0,18.4,17,11.005,91.824
6.9,7,8,0,888,654,0,17.1,7.8,39.03,140.881
7.9,9,9,0,1870,774,0,11.3,19,31.002,103.322
6.9,5,5,0,910,519,0,21.1,27,36.164,141.526
7.3,0,6,0,820,486,0,13.4,33,-20.071,168.892
7.2,0,7,0,798,532,0,25.9,10,35.49,81.467
6.9,4,5,0,740,544,0,25.9,24,13.351,125.63
6.7,5,6,0,696,543,0,15.1,25,-2.245,99.808
6.6,4,6,0,674,421,0,17.7,25,-2.332,99.891
7.2,4,7,0,832,505,0,18.4,25,-2.486,99.972
6.5,4,6,0,654,429,0,28.3,22,-2.405,99.931
7.4,5,7,0,914,607,0,16.4,26,2.768,95.964
6.5,8,5,0,692,650,0,30.7,28,36.345,21.863
6.9,6,6,0,941,645,0,30.6,29,36.501,21.67
6.5,7,6,0,723,521,0,27.6,83,16.357,-94.304
6.6,7,6,0,808,461,0,18.8,20,-39.011,178.291
6.7,5,7,0,704,481,0,30.3,45,-22.954,-70.182
7.4,7,7,0,1542,663,0,13.4,156,14.944,-61.274
6.6,3,6,0,672,280,0,26.9,16,-10.95,162.149
6.5,5,7,0,653,272,0,27.6,18,-8.224,118.467
6.5,7,7,0,657,353,0,27.5,20,-8.292,118.37
6.8,6,6,0,722,341,0,15.9,53,-5.757,147.098
6.8,7,6,0,790,649,0,27,122.9,-2.312,-77.838
6.8,6,7,0,716,285,0,40.1,26,-22.925,-70.237
7.7,8,7,0,995,610,0,22.4,40,-22.247,-69.89
6.8,3,5,0,713,494,0,23.9,21,-3.899,101.02
6.8,4,7,0,744,338,0,19,18,-44.796,167.553
6.8,4,5,0,713,348,0,15.5,40,-4.99,153.5
6.7,3,5,0,696,503,0,26.9,30,-1.999,100.141
7,4,7,0,768,537,0,23.1,22,-2.13,99.627
6.5,0,5,0,650,409,0,26.2,28.9,-1.689,99.668
7.9,8,7,0,1133,446,0,29.1,35,-2.625,100.841
7.8,7,8,0,1152,0,0,0,40.5,-2.52,100.139
8.4,0,6,0,1086,411,0,32.3,34,-4.438,101.367
6.8,5,6,0,747,653,0,17.6,15,2.966,-77.963
7.2,0,5,0,798,312,0,21.3,35,-11.61,165.762
6.5,5,6,0,675,382,0,12.8,15,-9.834,159.465
8,9,8,0,1385,625,0,25.7,39,-13.386,-76.603
7.5,0,5,0,865,228,0,30.7,280,-5.859,107.419
7.2,7,7,0,803,494,0,20.4,120,-15.595,167.68
6.9,3,5,0,734,374,0,24.1,25,2.872,127.464
6.8,5,4,0,779,664,0,18.2,350.4,36.808,134.85
6.6,8,8,0,831,782,0,16.7,12,37.535,138.446
6.7,6,6,0,972,468,0,37.7,23,13.554,-90.618
6.9,0,7,0,732,305,0,15.3,10,-7.306,155.741
6.6,0,7,0,670,251,0,16,10,-7.169,155.777
8.1,9,8,0,1025,439,0,14.7,24,-8.466,157.043
6.7,7,8,0,782,493,0,23.9,8,37.336,136.588
7.1,3,6,0,779,426,0,25.3,34,-20.617,169.357
6.7,0,6,0,691,253,0,40.3,12,-1.034,126.976
7.5,6,5,0,874,570,0,21.6,22,1.065,126.282
8.1,4,5,0,1034,606,0,14,10,46.243,154.524
6.9,6,7,0,798,466,0,31.6,10,21.974,120.493
7.1,8,7,0,1023,744,0,29.1,10,21.799,120.547
8.3,4,7,0,1064,576,0,20.9,10,46.592,153.266
6.6,0,6,0,670,352,0,18.6,11,-6.482,151.195
6.7,5,6,0,732,444,0,53.4,23,-13.457,-76.677
6.7,5,6,0,692,533,0,15.6,32,-5.881,150.982
6.7,8,9,0,1481,43,0,124,38.182,19.877,-155.935
6.9,3,3,0,737,702,0,20.9,28,-16.592,-172.033
6.8,0,6,0,711,459,0,28.4,38,-6.759,155.512
6.5,0,6,0,650,700,0,47.4,43,51.148,157.522
6.8,5,5,0,713,551,0,26.2,150,-15.798,167.789
7.7,7,5,0,947,357,0,36.8,20,-9.284,107.419
6.5,0,6,0,650,477,0,20.3,34,-5.724,151.133
6.6,0,7,0,670,548,0,28,19,60.772,165.743
6.8,4,5,0,719,701,0,16.3,12,0.093,97.05
8,7,7,0,1013,626,0,20.7,55,-20.187,-174.123
8,8,9,0,1026,0,0,0,60.5,-19.99,-173.907
6.5,7,7,0,653,282,0,46.3,12,-27.211,-71.056
6.7,6,7,0,696,277,0,25.6,12,-27.017,-71.022
6.6,0,8,0,670,645,0,28.4,11,60.491,167.516
7.6,0,8,0,889,579,0,18.5,22,60.949,167.089
6.5,3,5,0,654,247,0,25.5,14,-16.527,176.989
6.7,0,7,0,691,306,0,21.3,30.1,-3.595,127.214
7,5,9,0,891,412,0,23.2,11,-21.324,33.583
6.7,7,6,0,934,769,0,19.7,66,36.311,23.212
6.6,7,6,0,703,323,0,48.2,14,28.164,-112.117
6.5,6,5,0,721,529,0,20.5,224.6,36.357,71.093
6.8,5,7,0,744,561,0,20,22,-6.224,29.83
6.5,4,5,0,683,464,0,48.8,29,38.089,142.122
6.5,3,6,0,651,358,0,20.7,21,2.164,96.786
6.8,0,6,0,711,509,0,30.1,147,-22.361,-67.895
7.6,9,9,0,1267,724,0,21.1,26,34.539,73.588
6.6,0,6,0,670,402,0,17.7,25,-5.437,151.84
7.5,8,7,0,1018,696,0,26.2,115,-5.678,-76.398
7.6,5,7,0,891,502,0,20,90,-4.539,153.474
7.2,7,7,0,1104,698,0,19.6,36,38.276,142.039
7.2,4,5,0,808,636,0,26.4,16,7.92,92.19
6.7,3,6,0,693,398,0,22.3,21,1.819,97.082
6.6,6,5,0,719,446,0,21.1,27,11.245,-86.172
7.2,5,4,0,1318,420,0,31.4,16,41.292,-125.953
7.8,8,7,0,1020,714,0,16.1,115.6,-19.987,-69.197
6.9,5,7,0,740,635,0,26,30,1.989,97.041
6.7,6,5,0,731,695,0,20.9,34,0.587,98.459
6.5,3,6,0,657,478,0,21.2,30,-1.714,99.779
6.7,5,6,0,717,656,0,21.2,19,-1.644,99.607
8.6,0,8,0,1138,510,0,22.1,30,2.085,97.108
6.6,8,7,0,805,401,0,22.9,10,33.807,130.131
7.1,0,5,0,776,569,0,18.1,201.7,-6.527,129.933
6.8,0,6,0,711,444,0,33.8,36,2.908,95.592
6.5,0,7,0,650,371,0,31.8,10,-5.562,122.129
6.5,3,5,0,652,286,0,47.3,39.7,4.756,126.421
6.7,0,4,0,691,457,0,30.2,206.3,-14.252,167.259
7.1,7,3,0,782,640,0,26.4,525,5.293,123.337
6.6,6,4,0,676,225,0,78.5,27.8,34.064,141.491
6.6,0,5,0,670,353,0,31.9,16.1,8.879,92.375
7.2,5,6,0,802,385,0,27.9,39.2,6.91,92.958
9.1,0,8,0,1274,601,0,22,30,3.295,95.982
8.1,0,5,0,1009,331,0,59.3,10,-49.312,161.345
6.8,5,6,0,858,639,0,21.8,10,18.958,-81.409
6.8,4,7,0,724,759,0,23.6,35,42.9,145.228
7,4,7,0,771,929,0,23.9,39,43.006,145.119
7.1,0,7,0,776,439,0,28.8,10,-3.609,135.404
7.1,5,5,0,782,585,0,14.7,10,-46.676,164.721
7.2,8,8,0,820,708,0,50.2,15,4.695,-77.508
7.5,5,7,0,870,301,0,33.8,10,-8.152,124.868
6.7,0,6,0,691,233,0,21.5,10,-11.128,162.208
6.7,7,4,0,703,459,0,37.3,10,49.277,-128.772
6.6,0,8,0,670,782,0,37,16,37.226,138.779
6.7,5,6,0,705,698,0,24.7,94,24.53,122.694
7,0,6,0,754,441,0,32.2,35,11.422,-86.665
6.5,5,5,0,665,526,0,18.3,105,13.925,120.534
6.8,0,6,0,711,545,0,15.7,36,-10.951,162.161
6.6,0,4,0,670,478,0,29.8,10,33.205,137.227
7.4,0,5,0,842,594,0,27.5,10,33.184,137.071
7.2,0,5,0,798,643,0,28.4,14,33.07,136.618
6.5,0,7,0,650,349,0,30.1,5,-35.173,-70.525
6.5,0,7,0,650,305,0,39,13.4,-0.443,133.091
6.9,0,5,0,732,798,0,31.2,188.6,55.682,160.003
6.6,0,7,0,670,282,0,46.9,21,-37.695,-73.406
6.7,0,5,0,691,386,0,27.6,65.8,-9.362,122.839
6.5,0,4,0,650,424,0,29.9,228.4,-13.174,167.198
6.6,0,4,0,670,728,0,18.3,187.1,36.512,71.029
6.7,0,7,0,691,256,0,33.3,25.7,-3.665,135.339
7.3,0,7,0,820,390,0,23,10,-4.003,135.023
7,0,7,0,754,367,0,33,16.6,-3.615,135.538
6.7,0,6,0,691,243,0,42.5,17.4,-3.12,127.4
7.3,0,4,0,820,235,0,46.6,10,-22.015,169.766
6.6,0,9,0,670,552,0,44.8,10,28.995,58.311
6.5,0,6,0,650,405,0,48.4,33,8.416,-82.824
6.5,7,9,0,1390,65,0.04685,71,8.382,35.7005,-121.101
6.8,0,7,0,711,447,0,27.7,10,23.039,121.362
6.6,0,6,0,670,384,0,25.1,35,-5.581,150.88
6.5,0,6,0,650,487,0,45.9,35,12.025,125.416
6.6,0,5,0,670,475,0,26.2,113.7,-19.262,168.892
7,0,5,0,754,568,0,61.2,10,37.812,142.619
6.7,0,6,0,691,556,0,55.4,32,42.648,144.57
6.7,0,7,0,691,643,0,24.5,10,50.211,87.721
6.5,0,5,0,650,586,0,71.3,25,42.45,144.38
7.3,0,7,0,820,667,0,24.5,16,50.038,87.813
7.4,0,7,0,842,514,0,78.8,33,41.774,143.593
8.16,0,9,0,1024,0,0,0,27,41.815,143.91
6.6,0,7,0,670,518,0,24.7,10,19.917,95.672
7.2,0,7,0,798,428,0,17.5,28,-45.104,167.144
7.6,0,6,0,889,315,0,25.2,10,-60.532,-43.411
6.5,0,6,0,650,156,0,31.4,33,-3.828,152.174
6.8,0,7,0,711,398,0,39.1,33,-30.608,-71.637
6.9,0,5,0,732,733,0,26.7,174.8,55.492,159.999
6.6,0,6,0,670,419,0,27.8,33,-5.095,152.502
7,0,6,0,754,473,0,30.3,31,2.354,128.855
7,0,7,0,754,690,0,19.1,68,38.849,141.568
6.8,0,9,0,711,534,0,19.4,12,36.964,3.634
6.5,0,7,0,650,247,0,28.7,33,-8.294,120.743
6.8,0,7,0,711,431,0,38.4,40.2,-4.694,153.238
7.6,0,7,0,889,551,0,0,24,18.77,-104.104
6.5,0,6,0,650,316,0,0,24,13.626,-90.774
7.3,0,6,0,820,457,0,0,33,-10.491,160.77
6.7,0,5,0,691,323,0,0,71.9,-5.311,153.701
6.7,0,6,0,691,453,0,0,34,-4.786,153.275
7.9,8,9,0,1750,0,0,0,4.2,63.5141,-147.453
7.4,0,7,0,842,418,0,0,30,2.824,96.085
6.6,0,7,0,670,0,0,0,4.2,63.5144,-147.912
6.7,0,7,0,691,250,0,0,10,-1.511,133.973
7.6,0,7,0,889,375,0,0,10,-1.757,134.297
6.5,0,6,0,650,646,0,0,21,13.036,93.068
7.6,0,7,0,889,428,0,0,13,-3.302,142.945
6.5,0,4,0,650,260,0,0,30,14.101,146.199
6.5,0,7,0,650,533,0,0,10,7.929,-82.793
6.5,0,8,0,650,555,0,0,10,35.626,49.047
6.6,0,7,0,670,420,0,0,54,-30.805,-71.124
6.7,0,5,0,691,272,0,0,33,-12.592,166.383
7.1,0,7,0,776,257,0,0,85.7,13.088,144.619
6.7,0,7,0,691,462,0,0,62,-27.535,-70.586
6.8,0,6,0,711,292,0,0,24.9,16.985,-100.865
7.1,0,6,0,776,550,0,0,32.8,24.279,122.179
6.5,0,5,0,650,486,0,0,125.1,-21.663,-68.329
7.5,0,7,0,865,321,0,0,31,6.033,124.249
7.4,0,5,0,842,138,0,0,225.6,36.502,70.482
6.6,0,6,0,670,444,0,0,39,-5.345,151.248
6.5,0,7,0,650,482,0,0,5,38.573,31.271
6.7,0,8,0,691,333,0,0,11,-3.212,142.427
6.6,0,6,0,670,386,0,0,10,-17.664,168.004
7.2,0,6,0,798,427,0,0,21,-17.6,167.856
6.8,0,7,0,711,385,0,0,16,-9.613,159.53
6.8,0,5,0,711,499,0,0,14,23.954,122.734
6.5,0,5,0,650,605,0,0,123.8,39.402,141.089
7.8,0,9,0,936,368,0,0,10,35.946,90.541
7,0,7,0,754,254,0,0,33,-5.912,150.196
7.5,0,6,0,865,234,0,0,33,-4.102,123.907
7,0,6,0,754,482,0,0,37,12.686,144.98
6.5,0,6,0,650,174,0,0,33,-0.578,133.13
6.6,6,6,0,754,0,0,0,131.8,58.775,-154.701
6.5,0,8,0,650,483,0,0,10,39.059,24.244
7.6,0,7,0,889,398,0,0,33,-17.543,-72.077
6.6,0,7,0,670,324,0,0,62,-16.086,-73.987
6.7,0,6,0,691,422,0,0,24,-17.745,-71.649
8.4,0,8,0,1086,518,0,0,33,-16.265,-73.641
6.7,0,6,0,691,282,0,0,17,-7.41,155.865
6.8,0,7,0,711,596,0,0,50,34.083,132.526
6.5,0,6,0,650,206,0,0,33,-4.029,128.02
6.8,7,7,0,1441,67,0,31,51.798,47.149,-122.727
7.1,0,7,0,776,426,0,0,35,1.271,126.249
7.4,0,6,0,842,221,0,0,36,-4.68,102.562
6.6,0,8,0,670,273,0,0,10,13.671,-88.938
7.7,0,9,0,912,472,0,0,16,23.419,70.232
6.9,0,6,0,732,117,0,0,28,-4.022,101.776
7.7,0,8,0,912,427,0,0,60,13.049,-88.66
6.9,5,7,0,745,0,0,0,36.4,56.7744,-153.281
7.1,0,7,0,776,372,0,0,103,-14.928,167.17
6.8,0,5,0,711,64,0,0,33,6.631,126.899
7.5,0,7,0,865,324,0,0,33,6.898,126.579
6.5,0,7,0,650,401,0,0,31,-4.218,152.725
7,0,7,0,754,495,0,0,30,39.566,54.799
6.5,0,6,0,650,268,0,0,33,40.167,49.954
6.8,0,6,0,711,446,0,0,50.4,40.245,49.946
6.8,0,6,0,711,402,0,0,33,-5.228,151.771
6.6,0,6,0,670,267,0,0,33,-5.097,153.181
7.8,0,7,0,936,346,0,0,33,-5.496,151.781
6.5,0,6,0,650,71,0,0,33,-4.827,153.226
7.8,0,7,0,936,294,0,0,30,-5.233,153.102
8,0,7,0,985,254,0,0,33,-3.98,152.169
6.5,0,7,0,650,462,0,0,17,7.042,-77.829
7,0,7,0,754,60,0,0,50,-4.766,153.945
6.8,0,6,0,711,415,0,0,38,-6.549,105.63
6.7,0,8,0,691,390,0,0,10,35.456,133.134
7,0,7,0,754,357,0,0,23,-15.421,166.91
6.5,0,6,0,650,415,0,0,34,-7.977,30.709
6.8,0,6,0,711,336,0,0,16,-4.11,127.394
6.5,0,6,0,650,481,0,0,45.8,18.198,-102.48
6.8,0,7,0,711,593,0,0,10,48.786,142.246
6.6,0,6,0,670,218,0,0,33,-12.037,166.448
6.5,0,7,0,650,428,0,0,10,33.901,139.376
6.6,0,5,0,670,367,0,0,10,-7.747,150.917
6.5,0,6,0,650,0,0,0,42.9,57.3546,-154.198
6.5,0,9,0,650,351,0,0,10,63.98,-20.758
7.9,0,5,0,960,405,0,0,10,-13.802,97.453
6.5,0,8,0,650,406,0,0,10,63.966,-20.487
6.7,0,5,0,691,352,0,0,33,-4.612,101.905
6.7,0,5,0,691,147,0,0,33,-4.646,102.102
7.9,0,8,0,960,379,0,0,33,-4.721,102.087
7.2,0,5,0,798,0,0,0,225,-23.548,-66.452
7.6,0,7,0,889,0,0,0,26,-1.105,123.573
6.6,0,8,0,670,0,0,0,10,-6.817,143.807
6.6,0,6,0,670,0,0,0,33,-5.844,150.876
6.8,0,6,0,711,0,0,0,61.1,43.046,146.837
7.2,0,6,0,798,0,0,0,183.4,-16.925,-174.248
6.9,0,6,0,732,0,0,0,33,-10.86,165.354
6.5,0,6,0,650,0,0,0,56,-6.845,105.555
7.3,0,7,0,820,0,0,0,33,15.766,119.74
7,0,7,0,754,0,0,0,43.6,57.3424,-154.347
6.6,0,5,0,670,0,0,0,128.1,-18.901,-69.171
7.5,0,7,0,865,0,0,0,33,-16.423,168.214
7,0,6,0,754,0,0,0,33,-6.351,148.763
6.9,0,6,0,732,0,0,0,47.5,-5.978,148.82
7.2,0,9,0,798,0,0,0,10,40.758,31.161
6.5,0,4,0,650,0,0,0,228.4,36.522,71.24
7.1,8,8,0,1576,73,0,57,13.73,34.6033,-116.265
7.5,0,8,0,865,0,0,0,60.6,16.059,-96.931
6.5,0,7,0,650,0,0,0,17,23.738,121.158
7.7,0,9,0,912,0,0,0,33,23.772,120.982
6.6,0,6,0,670,0,0,0,33,-16.117,168.039
6.9,0,6,0,732,0,0,0,20,9.044,-84.159
7.6,0,9,0,889,0,0,0,17,40.748,29.864
6.7,0,8,0,691,0,0,0,10,15.782,-88.33
7,0,7,0,754,0,0,0,70,18.386,-97.436
6.6,0,5,0,670,0,0,0,27,-5.165,152.877
7.1,0,7,0,776,0,0,0,73.7,-4.751,152.486
7.1,0,7,0,776,0,0,0,138,-5.159,150.88
6.8,0,5,0,711,0,0,0,164.2,-21.422,-176.46
