magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,depth,latitude,longitude
8.2,8,7,1,1252,0,0,0,35,55.3154,-157.829
6.7,8,5,1,935,0,8.139,12,110,13.6989,120.713
6.7,6,6,1,830,0,1.395,61,10,7.5904,-82.8813
6.5,0,4,1,650,0,7.994,24,25,-30.2144,-177.773
6.5,5,7,1,652,0,4.518,44,10,-16.4796,-177.356
7.3,9,9,0,1025,0,4.655,9,10,34.5861,98.2551
6.7,8,4,0,698,0,1.487,37,11,0.1684,96.6475
6.7,9,3,0,694,0,10.669,45,10,-17.2495,66.3745
6.9,7,6,1,919,0,2.619,35,43,38.2296,141.665
6.5,4,4,0,651,0,5.931,20,246,-21.6857,-177.064
6.5,6,4,0,652,0,10.405,19,301,-18.9204,-176.235
7,7,7,1,1052,0,2.378,35,43,38.4752,141.607
6.6,5,5,1,672,0,3.183,18,13.23,54.7018,163.208
6.5,0,4,0,650,0,11.764,25,24,-28.4792,-176.619
8.1,9,8,1,1021,0,0.739,21,28.93,-29.7466,-177.224
7.4,3,7,1,843,0,0.437,30,43,-29.6131,-177.842
7.3,7,6,1,932,0,0.918,24,10,-37.596,179.544
7.1,9,8,1,1612,0,3.085,11,43.98,37.6856,141.992
7.7,9,4,1,918,0,7.989,15,10,-23.2787,171.489
6.9,9,5,1,739,0,1.55,16,15,-61.8484,-55.559
7,7,5,1,802,0,2.821,15,80,5.0074,127.517
6.7,8,8,0,776,0,2.043,22,10,51.2407,100.443
6.7,5,5,1,776,0,1.319,19,10,-39.3264,-74.9067
7,8,7,0,1527,0,1.518,18,21,37.8973,26.7953
7.6,9,7,1,1165,0,0.23,36,28.37,54.662,-159.675
6.9,0,3,1,732,0,11.255,16,10,0.9604,-26.8332
6.5,6,6,0,674,0,0.388,49,16,-27.9285,-71.3937
6.8,6,7,1,824,0,0.312,69,21,-28.013,-71.1958
6.5,4,5,0,651,0,15.394,31,10,0.8696,-29.7046
6.9,4,3,0,749,0,2.267,20,624,-6.6704,123.493
6.9,4,4,0,735,0,1.716,25,26,-4.2791,101.215
6.8,5,4,0,716,0,1.816,34,22,-4.3724,101.095
6.6,9,8,1,784,0,5.128,14,10,12.0065,124.13
